"@wenny63","It is my sweet life but NOT BY CHOICE! http://t.co/tJ5rIm2QRv"
"@mollishutts","@amberlynn226 I have pancreatitis and they want to do genetic testing since my dad has diabetes and Im so young"
"@AceOfHeartsEnt","Join us tomorrow as Ace of Hearts Entertainment rocks the Diabetes Association Tour de Cure Bike Ride at the... http://t.co/cGTj5rJSCx"
"@ChristiJCharmed","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@mikeless","#Natives trying to fight high blood pressure and diabetes so #burgerking can you please ease up on the salt"
"@letsbemoms","@happytubbs ha! Right back atcha. Have a few drinks for me. We are currently watching HP7 and about to get diabetes from my cake ;)"
"@johnsams_27","RT @qanzaaa: Walk into McDonalds and you can  just smell the diabetes"
"@kevbeau68","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@Roni1188","One more cup of coffee a day could cut your risk of Type 2 diabetes - http://t.co/aG9bpZM4BU"
"@MJohnsonCEO","At the Juvenile Diabetes Research Foundation Dinner.   They put me and my wife and the firefighters at the table!... http://t.co/Mts1XZHcFW"
"@MSGirlTJ","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@SteffanieMarie3","Check out my JDRF Walk website!!: http://t.co/2obBoxqy3x #JDRF #Diabetes #Diabetic #StepsForSteff #MyLife #Pens #TShirts"
"@pmgz","RT @foxnewshealth: Increasing daily coffee consumption may protect against type 2 diabetes http://t.co/6LeIkFRXbm @lorengrush"
"@IPCHeartCare","Bariatric surgery can also help prevent diabetes and heart disease http://t.co/14rFxsquPj #heartdisease"
"@DiabeticTalks","#DBlog: Change, Deceit &amp; Diabetes: It looked like I accepted the diagnosis...Looks can be deceiving! http://t.co/RiytM4YpMS"
"@butWhyman","Yo you should probably stop staring at me since you have diabetes and clogged arteries you baboon faced tank of a person"
"@Get_naija","#seethis Lose that baby weight or risk developing diabetes or heart disease: New study urges new mothers to get... http://t.co/MOM5uvQJlm"
"@For_Sale_","RT @For_Sale_ The Type 2 Diabetes Cookbook http://t.co/xHIp9IzuJN #wine #forsale #tips"
"@BlogPodcastVid","RT @For_Sale_ The Type 2 Diabetes Cookbook http://t.co/3ZLFktaFUw #wine #forsale #tips"
"@Renawsm","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@VCBrendoV","Seriously, whoever invented the KFC Double Down wants to see an entire generation of youth get diabetes. #TooFire"
"@TwittaRazzzi","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@HINHealthCoach","BettrLife partners w/ Viridian Health Management to improve diabetes care, prevention, #healthcoaching http://t.co/esKxfTOmXA"
"@qanzaaa","Walk into McDonalds and you can  just smell the diabetes"
"@LoveKortney","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@DarthFaust","@LOU_WEEZEE @zybby oh, I was going to guess it was diabetes"
"@T1DME","Furthermore, I hate #diabetes most when I am not intellectualizing it."
"@111000101000100","RT @thetimes: Britains cats, like their owners, are getting fatter - first clinic dedicated to feline diabetes http://t.co/r276h6Ieg4"
"@DiabeticTalks","Partnering with The Mount Sinai Medical Center to answer your health questions http://t.co/hY262B623R #diabetes #DOC"
"@jd_ainsworth","See Judy Lawn, the coffee shop is good for my health. http://t.co/3961AQRWBv"
"@kulinich93","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@LuzyCullen","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@mindy_bartleson","@ahhoodd diabetes speaking? cuz thats the best kind."
"@TheBangerzTour1","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@susangweiner","Reach out to members of congress to support access to quality diabetes act of 2013 #diabetesed4all #dsma"
"@Niall_aka_angel","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@WeirdGirl1972","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@Mark_by_Mark","RT @kellanlutz: Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@kellanlutz","Huge fan of Richie Sambora and what hes doing for Diabetes. Music, art, and charity all in one. http://t.co/3G2vfUouyP"
"@stpatrick31782","Today in nutritionists in the 1990s were GD lying to us the whole time... Coffee could lower your odds for diabetes http://t.co/YK58rGt9nu"
"@USVInews","VIDailyNews: Walk for juvenile diabetes Sunday on St. Croix http://t.co/zorNtf1sFX #usvi"
"@katieqqqq","All my moms cats did of diabetes and she wonders why... She just have syd ten cat treats. Thats why mom."
"@jaseremet","RT @docsyedahmed: Increasing consumption of coffee associated with reduced risk of type 2 diabetes, study finds -- ScienceDaily http://t.co"
"@SebInspires","RT @insulinpumpsca: Shawn Shepheard from Diabetes Champions Network catches up with Outrun Diabetes champion Sebastien Sasseville as... htt"
"@TheBiiiBoo","RT @kylejnorton: Diabetes  Diseases associated with diabetes http://t.co/Fhq1b2nciQ"
"@Mysticalgirl83","Increasing Daily Coffee Consumption May Protect Against Type 2 Diabetes http://t.co/cKk9HkrWli"
"@T1DME","On my #dblog I have a tendency to philosophize my #diabetes - posts arent simply about #type1diabetes"
"@pfanderson","RT @joyclee: .@fqure @Doctor_V @DoctorNatasha @pfanderson #mhealth + #socialmedia + #diabetes = the current landscape #hcsm http://t.co/IAE"
"@Ola_RisingStar","Diabetes feeling the chocolate"
"@Elias99Martin","RT @Fabian_Matti: @torreey @Elias99Martin @MarchandsEgo @ItWas4To1 @victorinosbeard torrey eat another fucking cupcake and youll have diab"
"@og_abel","RT @WorldStarFunny: If you cant taste diabetes, you aint doing it right http://t.co/SkDO78OOKa"
"@Get_naija","#seethis Lose that baby weight or risk developing diabetes or heart disease: New study urges new mothers to get... http://t.co/rH4JBG1cUu"
"@ladycat713","U.S. House of Representatives: Please Help to Change Medicares Policies on Diabetes http://t.co/x1WLLNUYAV via @Change"
"@alexiatarron","RT @medaFacts: Just one 12 ounce soda a day can increase your risk of diabetes by 22%."
"@MomsWhoSave","Are You Diabetic? Get Free Easy-to-Make Recipes! http://t.co/82JC1RiWhy #diabetes #free #recipes #lowcarb"
"@Fabian_Matti","@torreey @Elias99Martin @MarchandsEgo @ItWas4To1 @victorinosbeard torrey eat another fucking cupcake and youll have diabetes"
"@tashenamarie","Please Donate or Join our Team!... http://t.co/VGCooRMx9Y"
"@Kellywestknight","8 Drinks That Help Fight Diabetes | The Daily Meal http://t.co/e4LJLfMdUz"
"@Jonnie4Fitness","RT @JohnJtshett81: If every day could be this great!!!! #sexybetic #medtronic  #minimed530g  #bg #dsma #diabetes #doc #t1d http://t.co/7VUG"
